 0 1 2 3 4
19 0.114043415 -0.044184078 0.6182741 2.2969892 -0.77317524
20 0.57034385 0.5553818 0.6592993 0.23028561 -0.87147826
427 -0.15528545 -0.6899666 0.16272673 -0.1900633 0.46875602
428 -0.1721693 -0.23332082 0.47961822 1.6459149 0.39486232
22 -1.6081836 -1.1571977 0.5267838 -0.7253382 -1.6754117
429 -0.0063373623 1.132292 -0.54118 1.701395 -0.18688199
430 1.057106 -2.5255086 1.4269266 -0.07844223 -0.14890195
431 1.6469568 -0.32450297 0.22550154 -0.3761615 0.9173429
24 -2.1756344 -0.69843584 -0.66488695 -0.17757395 1.297733
432 -0.28950608 -1.5458716 0.28300595 0.42243612 -0.19867589
433 -0.06422603 -1.0986927 -1.647939 -0.043957077 -2.317813
434 0.64728343 0.40703568 -0.5394487 1.4609811 1.4282883
435 -0.038092382 -0.19354907 0.9332687 0.2458858 0.49946544
436 -0.44452107 1.13605 0.44850615 0.41334993 -2.415959
437 -0.5420977 -0.015343932 -0.6023537 -0.40791038 -1.3091574
438 1.3319541 1.2106696 0.0063949665 1.5655457 1.6297786
439 -0.15443794 1.3235372 -0.43483365 -0.16883215 1.040816
440 -0.01560452 2.3229935 -1.2087252 0.47274056 -0.99885416
441 0.6240146 -1.0586075 -0.37416065 0.5811395 0.52515626
442 -1.289841 -0.3500864 1.7023962 -0.7327397 -1.1236329
443 0.48435688 -1.7580975 -0.48349243 -0.47646484 -1.2065859
444 1.2373806 -1.7825891 -0.61842424 -0.41909558 0.34610313
445 1.0883017 0.032867458 -0.11686157 -0.28364745 -0.6784473
446 -0.040615704 0.6347253 1.6452138 -0.548809 -1.1257781
447 -0.3041533 -0.49598038 0.5392379 -0.46361125 0.6416596
448 -0.7840229 1.4895494 -1.235547 -0.26466852 -0.2580954
25 -1.0231688 0.18329763 -0.21818691 0.019126376 0.26559588
26 -0.5861812 0.18282357 0.7742489 -1.3662406 1.3508402
27 0.32370973 1.2313368 1.1119571 1.0659047 0.15706019
28 -0.5551182 -0.055539504 1.3266124 -0.42956445 -0.11364062
29 -0.7195782 0.57795376 -1.4791836 -1.7217577 -0.5949687
30 0.3792507 -1.2805203 -1.2154149 0.4064057 -1.796396
449 0.96477246 -0.33284137 -1.7633022 0.00032788422 0.22228283
450 0.61161876 -1.6955965 0.42655498 -1.2481877 -0.25463924
451 0.7443697 0.19027857 -1.5674952 0.6828495 -0.28520992
452 1.5991154 -1.0801117 -0.5571613 1.0073944 -0.74667966
453 0.8173246 -0.2984104 -1.8826348 1.7911353 -1.4206617
454 0.3748826 -0.39957842 0.384813 -0.6668104 -1.6678665
455 0.7052464 -1.87579 -1.7383815 -0.35886806 -0.8416506
456 -0.25589308 -0.6815371 0.44775853 -0.36974183 0.6352162
359 -0.10324123 -1.0792845 0.32011944 -0.9683536 -2.005989
457 -0.28312966 0.352673 -0.43678156 1.4060146 -1.5358764
458 0.96244305 1.202312 -0.53223705 1.3648449 -0.055441946
459 0.37366244 1.2069743 -0.87825423 -1.0419275 -0.6939856
32 0.3453971 -0.8905606 0.92300844 -1.0472697 -0.38171047
460 2.060899 -0.34939054 1.1036785 0.22513509 0.19990808
461 -2.765485 -0.0044279173 -0.73975474 0.54753065 0.29740322
462 -1.8289002 0.26821962 2.020753 -0.88472956 -2.1010175
34 -1.655309 -0.32708868 1.3794324 -0.88935477 0.021401437
463 0.06554176 0.1650328 0.20680097 -0.8712434 1.087681
464 0.52217716 -0.49368247 0.69857633 -1.4962891 0.08139931
465 0.0005797032 0.47051042 -0.1896156 -1.6142578 0.3570196
466 0.47796375 0.9251316 0.005623461 1.9095128 0.92890483
467 -1.032161 0.2981949 0.9806847 1.556756 0.57430196
468 1.0149153 0.21196288 -1.036247 -1.0357322 0.8402614
35 0.021546947 -0.34325698 -0.2941969 1.869449 0.98876214
469 0.3578692 1.0479847 -0.0031965685 -0.26544544 -0.52181935
470 -1.4798807 0.84455305 0.41403973 -0.0471397 -1.2053679
471 -0.55504316 -1.2303791 -0.53668094 -0.12158989 -0.32848847
36 1.4988436 1.1265237 -0.7313327 0.71343625 0.40557957
472 -0.37093475 0.8325846 0.6448811 1.9259127 -0.36365435
473 0.021880293 -0.7437564 2.050941 0.22587487 -0.6807021
474 0.09332484 0.96334565 0.55458003 -0.24706933 -0.7236658
475 0.0020308292 -0.387498 1.8042675 -2.8986745 0.315966
37 -0.43667203 -1.3436366 -0.4466205 0.33859777 -0.24046452
38 -1.1339622 0.48755264 -1.8606387 -0.68683213 -0.21528326
39 -0.013815559 -1.0716519 0.24973874 1.3042287 0.9645723
476 1.4086539 -0.09619345 -1.259174 0.7977215 -0.885612
40 0.6880675 1.0581644 0.6877366 -0.8850188 -0.9801156
477 -0.96757835 -0.96863705 -0.9776682 -2.3618317 0.10090049
478 -0.6332499 1.1754562 -0.37215176 -0.74059695 -2.046365
479 1.4828851 0.71209353 -0.09526187 0.8057082 2.092659
480 1.3137593 1.0700694 0.6833665 -0.19973268 -1.793962
481 0.98673964 -0.80138326 -0.25306883 1.9938778 -0.14275819
482 0.6832487 -0.74417144 -0.561121 -0.47611645 -0.5622354
483 -0.33571404 1.1020108 0.9901138 2.3144064 0.2326454
484 0.52898717 -1.1570996 0.7768679 1.7424768 -0.86938953
485 -0.5539821 2.1446092 -0.50150424 -0.8834454 0.91731334
486 1.1432052 2.1179395 0.97595686 -0.23627143 -1.9265594
487 0.3297547 -0.77237517 0.93760526 -0.60123014 -1.5000272
488 0.2185545 -0.6657686 1.2753792 -1.2863635 -0.9551699
489 1.2790223 0.10706643 -0.5930028 -0.38692358 -0.07544843
490 -0.68336195 0.44709873 0.6657186 -0.42947474 -1.6234074
491 2.4844918 0.046249546 0.16116372 -0.31256807 0.4095688
492 0.6363831 -2.2853987 0.16141774 0.35561645 -1.2746129
493 -0.74477184 0.6167765 0.08560014 0.8885518 0.74616075
494 0.8155919 0.7548414 0.46638483 -0.3858994 -1.8395611
495 -1.5000964 1.5796721 0.12362101 -0.15596932 -1.4486214
42 1.1160823 0.7503762 1.0483638 -0.34524742 -0.55510455
496 0.114918694 1.9753996 -0.518634 2.017047 1.6316804
497 0.85090125 -1.8482765 0.61449313 -0.945709 1.822598
498 0.8460872 -0.26550484 -1.1587344 0.109497994 0.07703051
499 -0.31968564 0.22835547 -1.9408277 -0.07389205 -0.454806
44 1.8651674 0.8689801 0.42815325 -0.3224427 1.1101513
45 -1.7041187 1.2097026 0.6565009 -0.7691729 -0.011680442
500 0.8808307 -1.1888205 -0.8325666 -0.9593116 1.665894
46 -0.5293474 0.5752411 0.04252124 -1.4332267 0.83761483
501 -1.8764706 0.82556343 0.25731474 -0.12703058 0.6599145
502 1.4210644 0.6423022 -0.4252219 -0.0089765275 -0.5255149
503 0.7271053 0.44640937 -1.1006979 0.15488715 -1.0636486
504 -0.010352377 0.08431465 0.7740819 -0.1188342 -1.0913244
505 0.20157737 -2.6041496 -1.7833127 0.8709086 0.58526576
506 0.05892131 0.47764167 -0.5410745 0.83538777 -0.5457447
47 -0.33728397 0.9284558 -1.3155448 -0.4495178 0.373656
507 1.4437988 -1.15542 -0.18095861 2.208129 1.4831753
508 1.1700922 -1.0787683 1.1611383 -0.0017611682 -0.18114565
509 -0.031266205 0.28515244 0.8524645 -1.2517496 -1.3743346
510 0.27075738 1.4473566 -0.9003671 -1.5071069 -1.216654
48 -0.1841233 -0.466074 0.25917 1.0198698 0.48713723
511 -0.9543822 -0.44311598 0.4837985 -0.5474154 0.0602634
512 0.2141447 -0.38092855 -0.08131262 1.7525665 1.6054548
513 0.57821316 -0.40249327 -0.19259626 -0.088702254 0.72818583
514 0.09231332 0.39202654 -1.6721258 -1.115175 -0.28555724
515 1.005056 0.62000984 0.80130225 -0.70571524 0.08826107
49 -0.40372515 -1.2254813 1.0600805 -1.6464901 -0.52886236
50 0.054641683 -1.1856416 0.92503613 0.51411474 -0.30675638
516 2.5526416 -1.426233 -0.6225998 0.15545644 -0.4477557
517 -1.3928943 -1.4800792 0.18290792 0.1295867 -0.33674726
518 0.49804148 -0.6576233 1.1476148 0.32523832 0.888791
519 1.0889155 0.4224092 -0.18527073 -0.9412978 -1.1855481
520 1.266905 -0.13401535 0.4863131 -1.0918586 0.40031624
52 1.2760199 -0.16851693 0.7366076 1.0655056 -0.6438242
521 -0.2984202 1.7602023 -1.9464558 -0.76691544 -1.1990536
522 -0.7052162 -0.69354993 1.0808836 1.1112772 0.63310105
523 0.63752794 -0.9681496 2.6470919 0.83087444 -0.8649174
524 0.74071705 0.30902576 0.22680417 -0.97910446 1.2772928
54 -0.18080515 0.6257322 -1.2358903 -0.27800786 0.19569448
55 -0.18514371 0.31973252 1.2211004 -0.09151629 1.332081
56 -0.37091196 1.780822 0.69219726 -0.41417587 0.38645858
525 -0.3677522 0.2801173 -0.123853296 0.7966938 -1.606807
526 -0.2672695 0.39957112 1.3902069 0.4585559 -0.17304792
57 0.9078637 -0.1349528 0.16745265 1.0387212 0.77221566
58 -0.020879922 0.5364362 -0.34466913 1.1570852 -0.19973007
527 -0.14562997 -1.4706393 0.5382743 -0.9524839 0.5017012
528 -2.4055302 -0.99018586 -1.527954 0.3888551 1.6541946
529 1.7996362 -1.4741071 -0.039205056 0.47117525 -0.32972848
530 1.7247474 1.6604311 -0.6372297 -0.31809285 1.780314
531 -0.731043 0.3573464 -0.19765536 0.97846276 1.0769825
532 0.15666533 0.18092802 -1.6966975 -0.11908833 0.38237515
533 -1.3033091 0.16266692 0.71107066 -0.43893814 -0.25499502
534 -1.0213643 0.24980031 -1.0387896 -0.42526004 -0.5663128
535 0.25612584 1.1663251 -1.1866541 -0.9674721 -0.17422286
536 -1.1853719 -0.179636 0.019379344 1.0866901 -1.1842357
537 -0.036354728 0.34826872 0.60656065 0.13047081 0.22508958
538 1.1769418 -1.4614651 1.2449514 -1.2059368 1.6902546
539 1.4021804 0.16138409 -1.7194769 -0.90843296 0.46674246
540 1.8106066 0.7524932 1.1966507 -0.44017157 -1.3590466
541 -1.1938492 -0.2429155 0.8505769 1.4007777 0.48788282
542 0.20022243 1.2908896 0.35884094 -1.047369 0.87418926
543 0.49795684 -0.2835546 0.0740465 0.4371189 0.27633125
544 0.31023553 -1.7023221 -0.4132469 0.7871765 1.0390946
545 -0.55544615 -0.05114373 -0.43609247 1.0377674 1.3101697
546 -0.7634028 0.031091135 -0.14569731 -0.63437706 0.9664342
547 0.5962072 -1.5356382 -0.42363843 -1.14432 -1.2343626
59 -0.034683935 1.5249267 -2.1649137 0.60234934 0.37477943
548 -0.32182524 0.14999019 0.6871754 -0.20135178 0.1431181
60 0.14730579 -0.86614686 -3.1732483 0.5285528 -0.98235416
549 -0.20827998 -1.9758317 0.16866174 -0.5313981 0.5432319
550 -1.5498972 1.5266873 -1.1165007 0.5887139 1.5445589
551 0.4848363 0.120049 0.26471955 0.64289886 2.2810822
552 1.9457424 1.6927662 -0.98078775 0.016917529 1.8743868
553 1.4251119 -1.1941825 -0.22059672 -1.5639781 -0.2818309
554 0.45764807 1.0245085 -2.8273692 -1.146789 -1.1240581
555 -0.07614647 0.20335214 1.7259452 0.29818732 1.412868
62 0.2821641 -1.0147178 1.214059 0.35746455 -1.0686855
64 1.8672732 -1.9519451 -1.0458933 0.31223038 -0.1967891
556 -0.109342545 -0.42758334 0.7645716 -0.751578 0.36233005
557 -0.976405 0.94037974 0.25544384 -1.9056437 0.8010206
558 -0.14794998 -0.3752358 0.25301868 0.8505092 0.9762907
559 -0.26709497 -0.93348414 1.1986551 -0.41158593 -1.350264
560 -1.6474743 1.0699697 0.9094705 -1.4602426 -1.4586383
65 -0.15091868 -0.88203746 -0.71541435 -0.45965573 0.5271785
561 0.6378121 1.3949213 -0.39136776 -0.26783177 0.090558164
562 -0.36924067 0.2946125 0.7194579 1.2337818 -0.14242722
563 -1.3340929 -1.2208756 -1.072932 1.4071037 0.54031646
564 -0.46407256 0.56067294 -0.52656454 0.0054175397 -0.21552171
66 1.3690244 0.3975228 1.7804972 0.61240757 1.2653421
565 -0.7121263 0.17704235 -0.67956823 0.71993893 0.077785306
67 -1.0403646 0.6951573 -0.79685664 1.9238492 -0.4228307
68 0.81393933 -0.05302465 -1.8666288 0.6832627 1.029773
69 -0.23639415 0.049105037 -0.14253585 -0.54416716 -0.80757797
566 -0.27380016 0.008355559 -0.65631205 0.38685748 0.23057954
70 1.356259 0.22583932 -0.450949 0.28743693 1.1056123
567 -0.67730165 1.1672003 -0.37742737 0.9379585 -0.44836393
568 2.4638739 1.122242 0.9945012 0.23652653 0.3184665
569 0.90214473 1.0493898 -0.4752353 0.21470188 -0.24698696
570 0.7423357 -1.2658646 0.5460051 0.79204905 0.20870881
571 -0.1112851 -0.6216573 -0.8360944 -0.57419086 0.51640713
572 0.7039711 0.478329 -0.026219971 -0.5351085 1.8505034
573 0.9824647 -0.81483316 -1.7185787 -1.5359939 -0.36835152
72 -0.82580197 -0.25142935 -0.7482374 0.16812485 0.6400971
574 -0.7006303 -0.54464996 -0.9676925 0.27417213 0.24964274
