 0 1 2 3 4
426 -0.8370715 -1.4452153 -0.7894635 -1.7228292 -1.3335874
19 -0.37568626 2.7972877 -0.6411409 -1.2511946 0.30813223
20 1.2140509 0.12189083 1.1330639 -1.5525724 -0.9041707
427 -0.7383889 1.2373033 -0.6346379 1.8684245 0.39169946
428 0.3691854 -0.42779508 2.0782835 -0.47688666 -0.9050182
22 0.4578368 -0.18066196 -0.405491 0.15734042 0.22412194
429 -0.5762161 -0.97415674 -0.74404645 -3.233494 0.17553686
430 -1.3263777 1.2119455 -0.27809298 0.7503859 -0.79634666
431 0.7312223 -0.86697865 1.0016966 -0.5759107 -0.028981835
24 -1.3884885 -0.1292286 0.79382396 0.2811505 -1.5817033
432 1.2222744 -0.536291 -1.1493639 0.9924169 0.20441197
433 0.32364404 -1.4548595 0.2937956 0.3588586 0.47789726
434 -0.39146352 1.522826 0.47465104 0.9286806 -0.07243353
435 -1.1696814 1.5491358 0.45331353 1.6675415 -1.7389116
436 0.50280386 -1.1965474 0.18862526 -0.20114255 1.4908164
437 -1.8999691 0.31261364 -0.88238406 -0.90102524 -0.14136302
438 -0.5981917 -0.40145025 0.20383492 -0.24121387 1.7318984
439 1.8178437 1.9302921 0.93426144 -0.3018415 -1.0372393
440 0.20401558 -0.6567356 -1.1562978 0.7467305 0.49330837
441 0.573524 -0.6135915 1.002096 -0.099698655 -1.6373842
442 1.5942333 -0.26216054 0.6197049 -1.0106148 -0.54316074
443 -0.20165399 -0.20180759 0.9952447 0.67007416 -2.1870155
444 -0.060025845 -1.5322559 1.6957308 -1.4328916 -1.3803402
445 -0.22176723 0.7102416 1.1196855 -0.98302984 -0.6635286
446 -0.56067526 0.00019405971 1.9151629 1.4956105 0.30999875
447 1.2101454 -1.9739808 -1.4623626 0.938312 -0.2770215
448 -0.20521381 -0.3155922 -0.6704346 0.40455988 -1.259555
25 0.22142722 0.6093097 -0.70504826 -0.97673666 0.12646258
26 -0.44759506 -0.5996369 -0.24925119 -0.04578688 0.28689322
27 -0.35342786 2.128167 1.6492507 0.13867839 0.6407491
28 -0.5415141 -0.10470842 -0.6861916 0.016158951 -0.91465247
29 -0.5585979 -1.0752228 0.7027922 -0.8970602 1.2166966
30 -1.3766279 -1.7047038 -2.562269 0.5962156 -1.5632201
449 0.7829 -0.64089197 0.07638238 -0.86113036 1.7089022
450 1.032781 0.8592999 -0.43954596 0.99369603 0.94817364
451 -1.3849465 0.9936066 -1.3496325 0.24852315 -0.46411023
452 0.39004558 0.22298238 0.8926163 0.93166816 -0.41311008
453 0.61582994 0.064032026 -0.1485273 0.61691344 -0.29454258
454 1.3252907 1.148168 -0.25124362 1.977561 0.0641045
455 1.3448671 -1.8186549 0.61436135 -0.5230097 1.036678
456 0.8401367 1.0150856 -0.41848972 0.652223 0.76729363
